A S Madhukumar,Machine Learning-based Interference Mitigation in a Multi-tier Networks,Unassigned
A S Madhukumar,Deep Learning-Driven Edge Caching for 5G-and-Beyond Industrial IoT Networks,Unassigned
Alexei Sourin,Sonification of geometry 1,Unassigned
Arvind Easwaran,Edge/Cloud Resource Management for Time-Sensitive Applications (2),Unassigned
Bo An,Deep Reinforcement Learning for Complex Environment,Unassigned
Bo An,Build Software Agents for Power Trading Agent Competition,Unassigned
Bo An,Designing Negotiation Agents to Participate in International Competition,Unassigned
Cai Wentong,Creation of Meta-model for Agent-based Simulation Using Machine Learning Approach,Unassigned
Chen Change Loy,Encoding Images to Text Prompts with CLIP,Unassigned
Chia Liang Tien,Smart Monitor for Studio Photographer,Unassigned
Cong Gao,Developing a demonstration system for spatial data exploration and visualization,Unassigned
Cong Gao,Deep Learning Supported Location-aware Keyword Query,Unassigned
Douglas Leslie Maskell,An AI based Li-ion fast battery charger for power tools,Unassigned
Douglas Leslie Maskell,A Li-ion fast battery charger,Unassigned
Dusit Niyato,Metaverse for virtual education 1,Unassigned
Ke Yiping Kelly,Graph-based Deep Models for Image Semantic Segmentation,Unassigned